StateYear,State,Year,Population,Alignment,Outcome
Alaska1983,Alaska,1983,488417.0,0.21428838051914764,R
Alaska1984,Alaska,1984,513702.0,0.2693721262521851,R
Alaska1985,Alaska,1985,532495.0,0.2693721262521851,R
Alaska1986,Alaska,1986,544268.0,0.2693721262521851,R
Alaska1987,Alaska,1987,539309.0,0.2693721262521851,R
Alaska1988,Alaska,1988,541983.0,0.22002719642498011,R
Alaska1989,Alaska,1989,547159.0,0.22002719642498011,R
Alaska1990,Alaska,1990,553290.0,0.22002719642498011,R
Alaska1991,Alaska,1991,570193.0,0.22002719642498011,R
Alaska1992,Alaska,1992,588736.0,0.17325252744863573,R
Alaska1993,Alaska,1993,599432.0,0.17325252744863573,R
Alaska1994,Alaska,1994,603308.0,0.17325252744863573,R
Alaska1995,Alaska,1995,604412.0,0.17325252744863573,R
Alaska1996,Alaska,1996,608569.0,0.2010946992041987,R
Alaska1997,Alaska,1997,612968.0,0.2010946992041987,R
Alaska1998,Alaska,1998,619932.0,0.2010946992041987,R
Alaska1999,Alaska,1999,624779.0,0.2010946992041987,R
Alaska2000,Alaska,2000,627963.0,0.2665730305766423,R
Alaska2001,Alaska,2001,633714.0,0.2665730305766423,R
Alaska2002,Alaska,2002,642337.0,0.2665730305766423,R
Alaska2003,Alaska,2003,648414.0,0.2665730305766423,R
Alaska2004,Alaska,2004,659286.0,-0.2895389861152823,D
Alaska2005,Alaska,2005,666946.0,-0.2895389861152823,D
Alaska2006,Alaska,2006,675302.0,-0.2895389861152823,D
Alaska2007,Alaska,2007,680300.0,-0.2895389861152823,D
Alaska2008,Alaska,2008,687455.0,-0.2819690016073779,D
Alaska2009,Alaska,2009,698895.0,-0.2819690016073779,D
Alaska2010,Alaska,2010,714031.0,-0.2819690016073779,D
Alaska2011,Alaska,2011,722713.0,-0.2819690016073779,D
Alaska2012,Alaska,2012,731089.0,0.2252475416809718,R
Alaska2013,Alaska,2013,736879.0,0.2252475416809718,R
Alaska2014,Alaska,2014,736705.0,0.2252475416809718,R
Alaska2015,Alaska,2015,737709.0,0.2252475416809718,R
Alaska2016,Alaska,2016,741894.0,0.22022957457534365,R
Arizona1980,Arizona,1980,2718215.0,0.19486611618286265,R
Arizona1981,Arizona,1981,2810107.0,0.19486611618286265,R
Arizona1982,Arizona,1982,2889861.0,0.19486611618286265,R
Arizona1983,Arizona,1983,2968925.0,0.19486611618286265,R
Arizona1984,Arizona,1984,3067135.0,0.22216694080958288,R
Arizona1985,Arizona,1985,3183538.0,0.22216694080958288,R
Arizona1986,Arizona,1986,3308262.0,0.22216694080958288,R
Arizona1987,Arizona,1987,3437103.0,0.22216694080958288,R
Arizona1988,Arizona,1988,3535183.0,0.1987283260866552,R
Arizona1989,Arizona,1989,3622185.0,0.1987283260866552,R
Arizona1990,Arizona,1990,3684097.0,0.1987283260866552,R
Arizona1991,Arizona,1991,3788576.0,0.1987283260866552,R
Arizona1992,Arizona,1992,3915740.0,0.14609907705823166,R
Arizona1993,Arizona,1993,4065440.0,0.14609907705823166,R
Arizona1994,Arizona,1994,4245089.0,0.14609907705823166,R
Arizona1995,Arizona,1995,4432499.0,0.14609907705823166,R
Arizona1996,Arizona,1996,4586940.0,0.14242348929787615,R
Arizona1997,Arizona,1997,4736990.0,0.14242348929787615,R
Arizona1998,Arizona,1998,4883342.0,0.14242348929787615,R
Arizona1999,Arizona,1999,5023823.0,0.14242348929787615,R
Arizona2000,Arizona,2000,5160586.0,0.1514657443941444,R
Arizona2001,Arizona,2001,5273477.0,0.1514657443941444,R
Arizona2002,Arizona,2002,5396255.0,0.1514657443941444,R
Arizona2003,Arizona,2003,5510364.0,0.1514657443941444,R
Arizona2004,Arizona,2004,5652404.0,-0.1953671393622961,D
Arizona2005,Arizona,2005,5839077.0,-0.1953671393622961,D
Arizona2006,Arizona,2006,6029141.0,-0.1953671393622961,D
Arizona2007,Arizona,2007,6167681.0,-0.1953671393622961,D
Arizona2008,Arizona,2008,6280362.0,-0.1958662573908956,D
Arizona2009,Arizona,2009,6343154.0,-0.1958662573908956,D
Arizona2010,Arizona,2010,6408312.0,-0.1958662573908956,D
Arizona2011,Arizona,2011,6467163.0,-0.1958662573908956,D
Arizona2012,Arizona,2012,6549634.0,0.18835464699248844,R
Arizona2013,Arizona,2013,6624617.0,0.18835464699248844,R
Arizona2014,Arizona,2014,6719993.0,0.18835464699248844,R
Arizona2015,Arizona,2015,6817565.0,0.18835464699248844,R
Arizona2016,Arizona,2016,6931071.0,0.1806937196286115,R
Arkansas1980,Arkansas,1980,2286435.0,0.17632865137211423,R
Arkansas1981,Arkansas,1981,2293201.0,0.17632865137211423,R
Arkansas1982,Arkansas,1982,2294257.0,0.17632865137211423,R
Arkansas1983,Arkansas,1983,2305761.0,0.17632865137211423,R
Arkansas1984,Arkansas,1984,2319768.0,0.23052908739149777,R
Arkansas1985,Arkansas,1985,2327046.0,0.23052908739149777,R
Arkansas1986,Arkansas,1986,2331984.0,0.23052908739149777,R
Arkansas1987,Arkansas,1987,2342355.0,0.23052908739149777,R
Arkansas1988,Arkansas,1988,2342656.0,0.19916624549229592,R
Arkansas1989,Arkansas,1989,2346358.0,0.19916624549229592,R
Arkansas1990,Arkansas,1990,2356586.0,0.19916624549229592,R
Arkansas1991,Arkansas,1991,2383144.0,0.19916624549229592,R
Arkansas1992,Arkansas,1992,2415984.0,-0.2093652110278876,D
Arkansas1993,Arkansas,1993,2456303.0,-0.2093652110278876,D
Arkansas1994,Arkansas,1994,2494019.0,-0.2093652110278876,D
Arkansas1995,Arkansas,1995,2535399.0,-0.2093652110278876,D
Arkansas1996,Arkansas,1996,2572109.0,-0.18473983800842034,D
Arkansas1997,Arkansas,1997,2601090.0,-0.18473983800842034,D
Arkansas1998,Arkansas,1998,2626289.0,-0.18473983800842034,D
Arkansas1999,Arkansas,1999,2651860.0,-0.18473983800842034,D
Arkansas2000,Arkansas,2000,2678588.0,0.1765631743291615,R
Arkansas2001,Arkansas,2001,2691571.0,0.1765631743291615,R
Arkansas2002,Arkansas,2002,2705927.0,0.1765631743291615,R
Arkansas2003,Arkansas,2003,2724816.0,0.1765631743291615,R
Arkansas2004,Arkansas,2004,2749686.0,-0.20835033527464591,D
Arkansas2005,Arkansas,2005,2781097.0,-0.20835033527464591,D
Arkansas2006,Arkansas,2006,2821761.0,-0.20835033527464591,D
Arkansas2007,Arkansas,2007,2848650.0,-0.20835033527464591,D
Arkansas2008,Arkansas,2008,2874554.0,-0.2219533882473594,D
Arkansas2009,Arkansas,2009,2896843.0,-0.2219533882473594,D
Arkansas2010,Arkansas,2010,2921995.0,-0.2219533882473594,D
Arkansas2011,Arkansas,2011,2939493.0,-0.2219533882473594,D
Arkansas2012,Arkansas,2012,2950685.0,0.2195232632422641,R
Arkansas2013,Arkansas,2013,2958663.0,0.2195232632422641,R
Arkansas2014,Arkansas,2014,2966912.0,0.2195232632422641,R
Arkansas2015,Arkansas,2015,2977853.0,0.2195232632422641,R
Arkansas2016,Arkansas,2016,2988248.0,0.22918847431672337,R
California1980,California,1980,23667902.0,0.19118120397828248,R
California1981,California,1981,24285933.0,0.19118120397828248,R
California1982,California,1982,24820009.0,0.19118120397828248,R
California1983,California,1983,25360026.0,0.19118120397828248,R
California1984,California,1984,25844393.0,0.2115355930394651,R
California1985,California,1985,26441109.0,0.2115355930394651,R
California1986,California,1986,27102237.0,0.2115355930394651,R
California1987,California,1987,27777158.0,0.2115355930394651,R
California1988,California,1988,28464249.0,0.1775882792481193,R
California1989,California,1989,29218164.0,0.1775882792481193,R
California1990,California,1990,29959515.0,0.1775882792481193,R
California1991,California,1991,30470736.0,0.1775882792481193,R
California1992,California,1992,30974659.0,-0.003914457944476483,D
California1993,California,1993,31274928.0,-0.003914457944476483,D
California1994,California,1994,31484435.0,-0.003914457944476483,D
California1995,California,1995,31696582.0,-0.003914457944476483,D
California1996,California,1996,32018834.0,-0.15990073217531905,D
California1997,California,1997,32486010.0,-0.15990073217531905,D
California1998,California,1998,32987675.0,-0.15990073217531905,D
California1999,California,1999,33499204.0,-0.15990073217531905,D
California2000,California,2000,33987977.0,-0.1724493046467579,D
California2001,California,2001,34479458.0,-0.1724493046467579,D
California2002,California,2002,34871843.0,-0.1724493046467579,D
California2003,California,2003,35253159.0,-0.1724493046467579,D
California2004,California,2004,35574576.0,0.18961533090373306,R
California2005,California,2005,35827943.0,0.18961533090373306,R
California2006,California,2006,36021202.0,0.18961533090373306,R
California2007,California,2007,36250311.0,0.18961533090373306,R
California2008,California,2008,36604337.0,0.2260517107576624,R
California2009,California,2009,36961229.0,0.2260517107576624,R
California2010,California,2010,37332685.0,0.2260517107576624,R
California2011,California,2011,37676861.0,0.2260517107576624,R
California2012,California,2012,38011074.0,-0.20663149375889775,D
California2013,California,2013,38335203.0,-0.20663149375889775,D
California2014,California,2014,38680810.0,-0.20663149375889775,D
California2015,California,2015,38993940.0,-0.20663149375889775,D
California2016,California,2016,39250017.0,-0.22302634926247292,D
Colorado1980,Colorado,1980,2889964.0,0.22569969729726738,R
Colorado1981,Colorado,1981,2977898.0,0.22569969729726738,R
Colorado1982,Colorado,1982,3061564.0,0.22569969729726738,R
Colorado1983,Colorado,1983,3133630.0,0.22569969729726738,R
Colorado1984,Colorado,1984,3169992.0,0.25924891924017474,R
Colorado1985,Colorado,1985,3208723.0,0.25924891924017474,R
Colorado1986,Colorado,1986,3237450.0,0.25924891924017474,R
Colorado1987,Colorado,1987,3260480.0,0.25924891924017474,R
Colorado1988,Colorado,1988,3262281.0,0.22320425493695975,R
Colorado1989,Colorado,1989,3275818.0,0.22320425493695975,R
Colorado1990,Colorado,1990,3307618.0,0.22320425493695975,R
Colorado1991,Colorado,1991,3387119.0,0.22320425493695975,R
Colorado1992,Colorado,1992,3495939.0,-0.18011784530565322,D
Colorado1993,Colorado,1993,3613734.0,-0.18011784530565322,D
Colorado1994,Colorado,1994,3724168.0,-0.18011784530565322,D
Colorado1995,Colorado,1995,3826653.0,-0.18011784530565322,D
Colorado1996,Colorado,1996,3919972.0,0.1764930973996753,R
Colorado1997,Colorado,1997,4018293.0,0.1764930973996753,R
Colorado1998,Colorado,1998,4116639.0,0.1764930973996753,R
Colorado1999,Colorado,1999,4226018.0,0.1764930973996753,R
Colorado2000,Colorado,2000,4326921.0,0.20424408025938073,R
Colorado2001,Colorado,2001,4425687.0,0.20424408025938073,R
Colorado2002,Colorado,2002,4490406.0,0.20424408025938073,R
Colorado2003,Colorado,2003,4528732.0,0.20424408025938073,R
Colorado2004,Colorado,2004,4575013.0,-0.24071101000150164,D
Colorado2005,Colorado,2005,4631888.0,-0.24071101000150164,D
Colorado2006,Colorado,2006,4720423.0,-0.24071101000150164,D
Colorado2007,Colorado,2007,4803868.0,-0.24071101000150164,D
Colorado2008,Colorado,2008,4889730.0,0.2635386820949214,R
Colorado2009,Colorado,2009,4972195.0,0.2635386820949214,R
Colorado2010,Colorado,2010,5048644.0,0.2635386820949214,R
Colorado2011,Colorado,2011,5118360.0,0.2635386820949214,R
Colorado2012,Colorado,2012,5189867.0,-0.25493928842492497,D
Colorado2013,Colorado,2013,5267603.0,-0.25493928842492497,D
Colorado2014,Colorado,2014,5349648.0,-0.25493928842492497,D
Colorado2015,Colorado,2015,5448819.0,-0.25493928842492497,D
Colorado2016,Colorado,2016,5540545.0,-0.2416495128186848,D
Connecticut1980,Connecticut,1980,3107576.0,0.2179222648134752,R
Connecticut1981,Connecticut,1981,3128836.0,0.2179222648134752,R
Connecticut1982,Connecticut,1982,3139013.0,0.2179222648134752,R
Connecticut1983,Connecticut,1983,3162354.0,0.2179222648134752,R
Connecticut1984,Connecticut,1984,3180014.0,0.28014876664065,R
Connecticut1985,Connecticut,1985,3201131.0,0.28014876664065,R
Connecticut1986,Connecticut,1986,3223740.0,0.28014876664065,R
Connecticut1987,Connecticut,1987,3247291.0,0.28014876664065,R
Connecticut1988,Connecticut,1988,3271953.0,0.2292945528251781,R
Connecticut1989,Connecticut,1989,3283403.0,0.2292945528251781,R
Connecticut1990,Connecticut,1990,3291967.0,0.2292945528251781,R
Connecticut1991,Connecticut,1991,3302895.0,0.2292945528251781,R
Connecticut1992,Connecticut,1992,3300712.0,-0.20671842923587397,D
Connecticut1993,Connecticut,1993,3309175.0,-0.20671842923587397,D
Connecticut1994,Connecticut,1994,3316121.0,-0.20671842923587397,D
Connecticut1995,Connecticut,1995,3324144.0,-0.20671842923587397,D
Connecticut1996,Connecticut,1996,3336685.0,-0.22050028696146026,D
Connecticut1997,Connecticut,1997,3349348.0,-0.22050028696146026,D
Connecticut1998,Connecticut,1998,3365352.0,-0.22050028696146026,D
Connecticut1999,Connecticut,1999,3386401.0,-0.22050028696146026,D
Connecticut2000,Connecticut,2000,3411777.0,-0.23917594848666837,D
Connecticut2001,Connecticut,2001,3432835.0,-0.23917594848666837,D
Connecticut2002,Connecticut,2002,3458749.0,-0.23917594848666837,D
Connecticut2003,Connecticut,2003,3484336.0,-0.23917594848666837,D
Connecticut2004,Connecticut,2004,3496094.0,0.24527029307564385,R
Connecticut2005,Connecticut,2005,3506956.0,0.24527029307564385,R
Connecticut2006,Connecticut,2006,3517460.0,0.24527029307564385,R
Connecticut2007,Connecticut,2007,3527270.0,0.24527029307564385,R
Connecticut2008,Connecticut,2008,3545579.0,0.2814132755186106,R
Connecticut2009,Connecticut,2009,3561807.0,0.2814132755186106,R
Connecticut2010,Connecticut,2010,3579899.0,0.2814132755186106,R
Connecticut2011,Connecticut,2011,3589893.0,0.2814132755186106,R
Connecticut2012,Connecticut,2012,3593795.0,-0.25184602905841874,D
Connecticut2013,Connecticut,2013,3596003.0,-0.25184602905841874,D
Connecticut2014,Connecticut,2014,3591873.0,-0.25184602905841874,D
Connecticut2015,Connecticut,2015,3584730.0,-0.25184602905841874,D
Connecticut2016,Connecticut,2016,3576452.0,-0.2509671596319481,D
Delaware1980,Delaware,1980,594338.0,0.18718641581053205,R
Delaware1981,Delaware,1981,595975.0,0.18718641581053205,R
Delaware1982,Delaware,1982,599148.0,0.18718641581053205,R
Delaware1983,Delaware,1983,605458.0,0.18718641581053205,R
Delaware1984,Delaware,1984,611565.0,0.248853351647004,R
Delaware1985,Delaware,1985,618280.0,0.248853351647004,R
Delaware1986,Delaware,1986,627559.0,0.248853351647004,R
Delaware1987,Delaware,1987,636947.0,0.248853351647004,R
Delaware1988,Delaware,1988,647622.0,0.21569526668334307,R
Delaware1989,Delaware,1989,658273.0,0.21569526668334307,R
Delaware1990,Delaware,1990,669567.0,0.21569526668334307,R
Delaware1991,Delaware,1991,683080.0,0.21569526668334307,R
Delaware1992,Delaware,1992,694925.0,-0.18139223657229198,D
Delaware1993,Delaware,1993,706378.0,-0.18139223657229198,D
Delaware1994,Delaware,1994,717545.0,-0.18139223657229198,D
Delaware1995,Delaware,1995,729734.0,-0.18139223657229198,D
Delaware1996,Delaware,1996,740977.0,-0.18941883486262057,D
Delaware1997,Delaware,1997,751487.0,-0.18941883486262057,D
Delaware1998,Delaware,1998,763335.0,-0.18941883486262057,D
Delaware1999,Delaware,1999,774990.0,-0.18941883486262057,D
Delaware2000,Delaware,2000,786373.0,-0.22898548144455622,D
Delaware2001,Delaware,2001,795699.0,-0.22898548144455622,D
Delaware2002,Delaware,2002,806169.0,-0.22898548144455622,D
Delaware2003,Delaware,2003,818003.0,-0.22898548144455622,D
Delaware2004,Delaware,2004,830803.0,0.24091391099935844,R
Delaware2005,Delaware,2005,845150.0,0.24091391099935844,R
Delaware2006,Delaware,2006,859268.0,0.24091391099935844,R
Delaware2007,Delaware,2007,871749.0,0.24091391099935844,R
Delaware2008,Delaware,2008,883874.0,0.2890219646691723,R
Delaware2009,Delaware,2009,891730.0,0.2890219646691723,R
Delaware2010,Delaware,2010,899816.0,0.2890219646691723,R
Delaware2011,Delaware,2011,907924.0,0.2890219646691723,R
Delaware2012,Delaware,2012,916993.0,-0.26454291363183796,D
Delaware2013,Delaware,2013,925395.0,-0.26454291363183796,D
Delaware2014,Delaware,2014,934948.0,-0.26454291363183796,D
Delaware2015,Delaware,2015,944076.0,-0.26454291363183796,D
Delaware2016,Delaware,2016,952065.0,-0.24746524659555807,D
Florida1980,Florida,1980,9746324.0,0.21002287631726588,R
Florida1981,Florida,1981,10192774.0,0.21002287631726588,R
Florida1982,Florida,1982,10471407.0,0.21002287631726588,R
Florida1983,Florida,1983,10749851.0,0.21002287631726588,R
Florida1984,Florida,1984,11039925.0,0.24731599173001628,R
Florida1985,Florida,1985,11351118.0,0.24731599173001628,R
Florida1986,Florida,1986,11667505.0,0.24731599173001628,R
Florida1987,Florida,1987,11997283.0,0.24731599173001628,R
Florida1988,Florida,1988,12306395.0,0.21280683742070688,R
Florida1989,Florida,1989,12637715.0,0.21280683742070688,R
Florida1990,Florida,1990,13033307.0,0.21280683742070688,R
Florida1991,Florida,1991,13369798.0,0.21280683742070688,R
Florida1992,Florida,1992,13650553.0,0.1590983896403318,R
Florida1993,Florida,1993,13927185.0,0.1590983896403318,R
Florida1994,Florida,1994,14239444.0,0.1590983896403318,R
Florida1995,Florida,1995,14537875.0,0.1590983896403318,R
Florida1996,Florida,1996,14853360.0,-0.17146760059676733,D
Florida1997,Florida,1997,15186304.0,-0.17146760059676733,D
Florida1998,Florida,1998,15486559.0,-0.17146760059676733,D
Florida1999,Florida,1999,15759421.0,-0.17146760059676733,D
Florida2000,Florida,2000,16047515.0,0.18151034599437982,R
Florida2001,Florida,2001,16356966.0,0.18151034599437982,R
Florida2002,Florida,2002,16689370.0,0.18151034599437982,R
Florida2003,Florida,2003,17004085.0,0.18151034599437982,R
Florida2004,Florida,2004,17415318.0,-0.22764568525248866,D
Florida2005,Florida,2005,17842038.0,-0.22764568525248866,D
Florida2006,Florida,2006,18166990.0,-0.22764568525248866,D
Florida2007,Florida,2007,18367842.0,-0.22764568525248866,D
Florida2008,Florida,2008,18527305.0,0.23113814988202547,R
Florida2009,Florida,2009,18652644.0,0.23113814988202547,R
Florida2010,Florida,2010,18849098.0,0.23113814988202547,R
Florida2011,Florida,2011,19096952.0,0.23113814988202547,R
Florida2012,Florida,2012,19344156.0,-0.21907164106823787,D
Florida2013,Florida,2013,19582022.0,-0.21907164106823787,D
Florida2014,Florida,2014,19888741.0,-0.21907164106823787,D
Florida2015,Florida,2015,20244914.0,-0.21907164106823787,D
Florida2016,Florida,2016,20612439.0,0.2240339437754067,R
Georgia1980,Georgia,1980,5463105.0,-0.1630451913334999,D
Georgia1981,Georgia,1981,5568345.0,-0.1630451913334999,D
Georgia1982,Georgia,1982,5649792.0,-0.1630451913334999,D
Georgia1983,Georgia,1983,5728250.0,-0.1630451913334999,D
Georgia1984,Georgia,1984,5834954.0,0.18315859902237447,R
Georgia1985,Georgia,1985,5962661.0,0.18315859902237447,R
Georgia1986,Georgia,1986,6084666.0,0.18315859902237447,R
Georgia1987,Georgia,1987,6208467.0,0.18315859902237447,R
Georgia1988,Georgia,1988,6316142.0,0.17120118578714666,R
Georgia1989,Georgia,1989,6411099.0,0.17120118578714666,R
Georgia1990,Georgia,1990,6512602.0,0.17120118578714666,R
Georgia1991,Georgia,1991,6653005.0,0.17120118578714666,R
Georgia1992,Georgia,1992,6817203.0,-0.14800292730024323,D
Georgia1993,Georgia,1993,6978240.0,-0.14800292730024323,D
Georgia1994,Georgia,1994,7157165.0,-0.14800292730024323,D
Georgia1995,Georgia,1995,7328413.0,-0.14800292730024323,D
Georgia1996,Georgia,1996,7501069.0,0.14409186210658775,R
Georgia1997,Georgia,1997,7685099.0,0.14409186210658775,R
Georgia1998,Georgia,1998,7863536.0,0.14409186210658775,R
Georgia1999,Georgia,1999,8045965.0,0.14409186210658775,R
Georgia2000,Georgia,2000,8227303.0,0.17256201698174967,R
Georgia2001,Georgia,2001,8377038.0,0.17256201698174967,R
Georgia2002,Georgia,2002,8508256.0,0.17256201698174967,R
Georgia2003,Georgia,2003,8622793.0,0.17256201698174967,R
Georgia2004,Georgia,2004,8769252.0,-0.21829159431157868,D
Georgia2005,Georgia,2005,8925922.0,-0.21829159431157868,D
Georgia2006,Georgia,2006,9155813.0,-0.21829159431157868,D
Georgia2007,Georgia,2007,9349988.0,-0.21829159431157868,D
Georgia2008,Georgia,2008,9504843.0,-0.21554895751565806,D
Georgia2009,Georgia,2009,9620846.0,-0.21554895751565806,D
Georgia2010,Georgia,2010,9713521.0,-0.21554895751565806,D
Georgia2011,Georgia,2011,9811610.0,-0.21554895751565806,D
Georgia2012,Georgia,2012,9914668.0,0.20965785238598003,R
Georgia2013,Georgia,2013,9984938.0,0.20965785238598003,R
Georgia2014,Georgia,2014,10087231.0,0.20965785238598003,R
Georgia2015,Georgia,2015,10199398.0,0.20965785238598003,R
Georgia2016,Georgia,2016,10310371.0,0.2026216127431302,R
Hawaii1980,Hawaii,1980,964691.0,-0.14085235583207473,D
Hawaii1981,Hawaii,1981,978195.0,-0.14085235583207473,D
Hawaii1982,Hawaii,1982,993780.0,-0.14085235583207473,D
Hawaii1983,Hawaii,1983,1012717.0,-0.14085235583207473,D
Hawaii1984,Hawaii,1984,1027922.0,0.18002338698850692,R
Hawaii1985,Hawaii,1985,1039698.0,0.18002338698850692,R
Hawaii1986,Hawaii,1986,1051762.0,0.18002338698850692,R
Hawaii1987,Hawaii,1987,1067918.0,0.18002338698850692,R
Hawaii1988,Hawaii,1988,1079828.0,-0.17814318576662208,D
Hawaii1989,Hawaii,1989,1094588.0,-0.17814318576662208,D
Hawaii1990,Hawaii,1990,1113491.0,-0.17814318576662208,D
Hawaii1991,Hawaii,1991,1136754.0,-0.17814318576662208,D
Hawaii1992,Hawaii,1992,1158613.0,-0.1547626342877216,D
Hawaii1993,Hawaii,1993,1172838.0,-0.1547626342877216,D
Hawaii1994,Hawaii,1994,1187536.0,-0.1547626342877216,D
Hawaii1995,Hawaii,1995,1196854.0,-0.1547626342877216,D
Hawaii1996,Hawaii,1996,1203755.0,-0.17031040369510406,D
Hawaii1997,Hawaii,1997,1211640.0,-0.17031040369510406,D
Hawaii1998,Hawaii,1998,1215233.0,-0.17031040369510406,D
Hawaii1999,Hawaii,1999,1210300.0,-0.17031040369510406,D
Hawaii2000,Hawaii,2000,1213519.0,-0.16916587214538875,D
Hawaii2001,Hawaii,2001,1225948.0,-0.16916587214538875,D
Hawaii2002,Hawaii,2002,1239613.0,-0.16916587214538875,D
Hawaii2003,Hawaii,2003,1251154.0,-0.16916587214538875,D
Hawaii2004,Hawaii,2004,1273569.0,0.18193596106689156,R
Hawaii2005,Hawaii,2005,1292729.0,0.18193596106689156,R
Hawaii2006,Hawaii,2006,1309731.0,0.18193596106689156,R
Hawaii2007,Hawaii,2007,1315675.0,0.18193596106689156,R
Hawaii2008,Hawaii,2008,1332213.0,0.24460878252952042,R
Hawaii2009,Hawaii,2009,1346717.0,0.24460878252952042,R
Hawaii2010,Hawaii,2010,1363945.0,0.24460878252952042,R
Hawaii2011,Hawaii,2011,1377864.0,0.24460878252952042,R
Hawaii2012,Hawaii,2012,1391820.0,-0.22032877814659943,D
Hawaii2013,Hawaii,2013,1406481.0,-0.22032877814659943,D
Hawaii2014,Hawaii,2014,1416349.0,-0.22032877814659943,D
Hawaii2015,Hawaii,2015,1425157.0,-0.22032877814659943,D
Hawaii2016,Hawaii,2016,1428557.0,-0.18682558693842807,D
Idaho1980,Idaho,1980,943935.0,0.3079650611535752,R
Idaho1981,Idaho,1981,962204.0,0.3079650611535752,R
Idaho1982,Idaho,1982,973721.0,0.3079650611535752,R
Idaho1983,Idaho,1983,981869.0,0.3079650611535752,R
Idaho1984,Idaho,1984,990839.0,0.30027380835837103,R
Idaho1985,Idaho,1985,994051.0,0.30027380835837103,R
Idaho1986,Idaho,1986,990224.0,0.30027380835837103,R
Idaho1987,Idaho,1987,984997.0,0.30027380835837103,R
Idaho1988,Idaho,1988,985664.0,0.25757357476787224,R
Idaho1989,Idaho,1989,994416.0,0.25757357476787224,R
Idaho1990,Idaho,1990,1012384.0,0.25757357476787224,R
Idaho1991,Idaho,1991,1041316.0,0.25757357476787224,R
Idaho1992,Idaho,1992,1071685.0,0.18909007777471926,R
Idaho1993,Idaho,1993,1108768.0,0.18909007777471926,R
Idaho1994,Idaho,1994,1145140.0,0.18909007777471926,R
Idaho1995,Idaho,1995,1177322.0,0.18909007777471926,R
Idaho1996,Idaho,1996,1203083.0,0.21328121168697423,R
Idaho1997,Idaho,1997,1228520.0,0.21328121168697423,R
Idaho1998,Idaho,1998,1252330.0,0.21328121168697423,R
Idaho1999,Idaho,1999,1275674.0,0.21328121168697423,R
Idaho2000,Idaho,2000,1299430.0,0.2592959990149527,R
Idaho2001,Idaho,2001,1319962.0,0.2592959990149527,R
Idaho2002,Idaho,2002,1340372.0,0.2592959990149527,R
Idaho2003,Idaho,2003,1363380.0,0.2592959990149527,R
Idaho2004,Idaho,2004,1391802.0,-0.29403248450569835,D
Idaho2005,Idaho,2005,1428241.0,-0.29403248450569835,D
Idaho2006,Idaho,2006,1468669.0,-0.29403248450569835,D
Idaho2007,Idaho,2007,1505105.0,-0.29403248450569835,D
Idaho2008,Idaho,2008,1534320.0,-0.26266489389436365,D
