State,Year,Reading
Mississippi,2011,1.7
Mississippi,2012,1.4
Mississippi,2013,1.7
Mississippi,2014,1.9
Missouri,1980,9.4
Missouri,1981,8.6
Missouri,1982,8.9
Missouri,1983,8.5
Missouri,1984,8.2
Missouri,1985,8.2
Missouri,1986,7.8
Missouri,1987,7.6
Missouri,1988,8.1
Missouri,1989,8.4
Missouri,1990,7.5
Missouri,1991,8.0
Missouri,1992,7.7
Missouri,1993,8.8
Missouri,1994,8.0
Missouri,1995,8.3
Missouri,1996,9.3
Missouri,1997,8.6
Missouri,1998,7.3
Missouri,1999,7.8
Missouri,2000,7.7
Missouri,2001,8.5
Missouri,2002,7.8
Missouri,2003,7.8
Missouri,2004,7.3
Missouri,2005,7.0
Missouri,2006,6.3
Missouri,2007,6.7
Missouri,2008,7.6
Missouri,2009,6.9
Missouri,2010,6.9
Missouri,2011,6.5
Missouri,2012,5.3
Missouri,2013,6.7
Missouri,2014,7.2
Montana,1980,1.4
Montana,1981,1.2
Montana,1982,1.4
Montana,1983,1.3
Montana,1984,1.2
Montana,1985,1.3
Montana,1986,1.2
Montana,1987,1.1
Montana,1988,1.2
Montana,1989,1.3
Montana,1990,1.3
Montana,1991,1.3
Montana,1992,1.1
Montana,1993,1.3
Montana,1994,1.2
Montana,1995,1.3
Montana,1996,1.5
Montana,1997,1.5
Montana,1998,1.2
Montana,1999,1.2
Montana,2000,1.4
Montana,2001,1.4
Montana,2002,1.5
Montana,2003,1.5
Montana,2004,1.6
Montana,2005,1.6
Montana,2006,1.6
Montana,2007,1.6
Montana,2008,1.8
Montana,2009,1.8
Montana,2010,1.6
Montana,2011,1.7
Montana,2012,1.5
Montana,2013,1.6
Montana,2014,1.6
Nebraska,1980,3.1
Nebraska,1981,2.8
Nebraska,1982,3.2
Nebraska,1983,3.0
Nebraska,1984,2.8
Nebraska,1985,2.8
Nebraska,1986,2.6
Nebraska,1987,2.4
Nebraska,1988,2.7
Nebraska,1989,2.8
Nebraska,1990,2.5
Nebraska,1991,2.7
Nebraska,1992,2.5
Nebraska,1993,2.9
Nebraska,1994,2.7
Nebraska,1995,2.7
Nebraska,1996,3.1
Nebraska,1997,2.9
Nebraska,1998,2.6
Nebraska,1999,2.6
Nebraska,2000,2.8
Nebraska,2001,3.0
Nebraska,2002,2.9
Nebraska,2003,2.8
Nebraska,2004,2.5
Nebraska,2005,2.5
Nebraska,2006,2.3
Nebraska,2007,2.5
Nebraska,2008,2.9
Nebraska,2009,2.7
Nebraska,2010,2.7
Nebraska,2011,2.6
Nebraska,2012,2.1
Nebraska,2013,2.7
Nebraska,2014,2.7
Nevada,1980,0.9
Nevada,1981,0.9
Nevada,1982,1.1
Nevada,1983,0.9
Nevada,1984,0.9
Nevada,1985,1.0
Nevada,1986,0.9
Nevada,1987,1.0
Nevada,1988,1.1
Nevada,1989,1.2
Nevada,1990,1.2
Nevada,1991,1.3
Nevada,1992,1.2
Nevada,1993,1.4
Nevada,1994,1.4
Nevada,1995,1.3
Nevada,1996,1.4
Nevada,1997,1.6
Nevada,1998,1.9
Nevada,1999,1.8
Nevada,2000,1.8
Nevada,2001,2.0
Nevada,2002,2.0
Nevada,2003,2.0
Nevada,2004,2.2
Nevada,2005,2.2
Nevada,2006,2.3
Nevada,2007,2.3
Nevada,2008,2.3
Nevada,2009,2.3
Nevada,2010,2.4
Nevada,2011,2.4
Nevada,2012,2.2
Nevada,2013,2.5
Nevada,2014,2.1
New Hampshire,1980,2.0
New Hampshire,1981,1.9
New Hampshire,1982,1.8
New Hampshire,1983,1.7
New Hampshire,1984,2.1
New Hampshire,1985,2.3
New Hampshire,1986,2.2
New Hampshire,1987,2.6
New Hampshire,1988,2.6
New Hampshire,1989,2.9
New Hampshire,1990,2.4
New Hampshire,1991,2.4
New Hampshire,1992,2.5
New Hampshire,1993,2.5
New Hampshire,1994,2.6
New Hampshire,1995,2.7
New Hampshire,1996,2.9
New Hampshire,1997,2.9
New Hampshire,1998,2.8
New Hampshire,1999,2.8
New Hampshire,2000,2.9
New Hampshire,2001,2.8
New Hampshire,2002,2.6
New Hampshire,2003,3.2
New Hampshire,2004,3.3
New Hampshire,2005,3.1
New Hampshire,2006,2.7
New Hampshire,2007,2.7
New Hampshire,2008,2.7
New Hampshire,2009,2.5
New Hampshire,2010,2.2
New Hampshire,2011,2.3
New Hampshire,2012,1.9
New Hampshire,2013,2.3
New Hampshire,2014,2.7
New Jersey,1980,17.8
New Jersey,1981,18.0
New Jersey,1982,16.5
New Jersey,1983,15.0
New Jersey,1984,16.9
New Jersey,1985,17.1
New Jersey,1986,17.0
New Jersey,1987,17.8
New Jersey,1988,18.5
New Jersey,1989,18.4
New Jersey,1990,15.3
New Jersey,1991,15.2
New Jersey,1992,16.5
New Jersey,1993,16.2
New Jersey,1994,18.1
New Jersey,1995,16.1
New Jersey,1996,17.8
New Jersey,1997,17.1
New Jersey,1998,15.1
New Jersey,1999,16.1
New Jersey,2000,16.8
New Jersey,2001,16.2
New Jersey,2002,15.7
New Jersey,2003,18.4
New Jersey,2004,17.4
New Jersey,2005,16.9
New Jersey,2006,14.1
New Jersey,2007,16.1
New Jersey,2008,15.8
New Jersey,2009,15.5
New Jersey,2010,14.6
New Jersey,2011,13.9
New Jersey,2012,12.5
New Jersey,2013,14.7
New Jersey,2014,16.1
New Mexico,1980,1.9
New Mexico,1981,1.6
New Mexico,1982,1.8
New Mexico,1983,1.9
New Mexico,1984,1.7
New Mexico,1985,1.8
New Mexico,1986,1.6
New Mexico,1987,1.8
New Mexico,1988,1.8
New Mexico,1989,1.8
New Mexico,1990,2.0
New Mexico,1991,2.0
New Mexico,1992,2.0
New Mexico,1993,2.0
New Mexico,1994,1.8
New Mexico,1995,1.8
New Mexico,1996,2.0
New Mexico,1997,2.2
New Mexico,1998,2.2
New Mexico,1999,2.3
New Mexico,2000,2.3
New Mexico,2001,2.6
New Mexico,2002,2.4
New Mexico,2003,2.2
New Mexico,2004,2.3
New Mexico,2005,2.3
New Mexico,2006,2.1
New Mexico,2007,2.2
New Mexico,2008,2.3
New Mexico,2009,2.2
New Mexico,2010,2.3
New Mexico,2011,2.2
New Mexico,2012,2.1
New Mexico,2013,2.3
New Mexico,2014,2.1
New York,1980,35.5
New York,1981,34.4
New York,1982,33.6
New York,1983,31.4
New York,1984,35.4
New York,1985,34.4
New York,1986,36.4
New York,1987,38.3
New York,1988,39.9
New York,1989,38.5
New York,1990,33.6
New York,1991,32.9
New York,1992,36.2
New York,1993,35.7
New York,1994,35.3
New York,1995,34.2
New York,1996,36.6
New York,1997,34.7
New York,1998,31.6
New York,1999,34.3
New York,2000,39.2
New York,2001,38.2
New York,2002,36.0
New York,2003,39.1
New York,2004,38.1
New York,2005,39.1
New York,2006,32.5
New York,2007,36.2
New York,2008,34.9
New York,2009,32.5
New York,2010,31.4
New York,2011,30.8
New York,2012,30.1
New York,2013,31.9
New York,2014,35.1
North Carolina,1980,6.6
North Carolina,1981,5.5
North Carolina,1982,5.2
North Carolina,1983,5.2
North Carolina,1984,7.0
North Carolina,1985,6.3
North Carolina,1986,6.2
North Carolina,1987,6.9
North Carolina,1988,7.4
North Carolina,1989,6.6
North Carolina,1990,5.2
North Carolina,1991,5.4
North Carolina,1992,6.0
North Carolina,1993,6.3
North Carolina,1994,5.9
North Carolina,1995,6.5
North Carolina,1996,7.5
North Carolina,1997,6.8
North Carolina,1998,6.7
North Carolina,1999,6.3
North Carolina,2000,7.1
North Carolina,2001,6.8
North Carolina,2002,6.3
North Carolina,2003,7.2
North Carolina,2004,7.1
